"ID";"Mission";"Technicien";"Date Debut";"Visites";"Avancement";"Statut"
"6";"MIS-004";"Amrani Youssef";"2026-08-06T07:00:00";"0";"0%";"Planifiée"
"8";"MSN-006";"Amrani Youssef";"2026-08-06T11:00:00";"0";"1%";"Planifiée"
"12";"MIS-003";"Naciri Anas";"2026-08-04T01:11:00";"0";"0%";"Planifiée"
"13";"MIS-003";"Ziani Fatima";"2026-08-04T02:13:00";"0";"0%";"Planifiée"
"16";"MIS-004";"Amrani Youssef";"2026-08-04T08:30:00";"2";"100%";"Clôturée"
"20";"MIS-004";"Kabbaj Sara";"2026-08-06T09:00:00";"2";"100%";"Clôturée"
"21";"MSN-006";"Naciri Anas";"2026-08-06T14:00:00";"2";"100%";"Clôturée"
"14";"MIS-003";"Ziani Fatima";"2026-08-04T13:37:00";"2";"100%";"Exécutée"
"19";"MIS-003";"Amrani Youssef";"2026-08-10T18:25:00";"0";"0%";"Planifiée"
"26";"MSN-006";"Amrani Youssef";"2026-08-10T00:38:00";"2";"100%";"Clôturée"
